問題,選択肢1,選択肢2,選択肢3,答え
胸やお腹が張って苦しいことが多い,はい,いいえ,多少,1
イライラいしやすく怒りっぽい,はい,いいえ,多少,2
不眠になりやすい,はい,いいえ,多少,3
黄色い粘りのある痰や鼻水がよく出る,はい,いいえ,多少,1
尿がよく濃い黄色になる,はい,いいえ,多少,2
肩がこりやすい,はい,いいえ,多少,3
唇や歯茎の色が紫に近い,はい,いいえ,多少,2
頭が重く感じられることが多い,はい,いいえ,多少,1
雨の日や湿度の高い日は体調が悪くなりがち,はい,いいえ,多少,3
皮膚が乾燥してカサカサしている,はい,いいえ,多少,2
舌の縁がギザギザになっている,はい,いいえ,多少,1
舌苔がびっしりついていて厚みがある,はい,いいえ,多少,2
舌の裏の静脈が太く膨らんで見える,はい,いいえ,多少,3
食が細いほうだ,はい,いいえ,多少,1
下痢や軟便になることがよくある,はい,いいえ,多少,2
よく、腰やひざに疲れや脱力感を覚える,はい,いいえ,多少,3
むくみを感じることが多い,はい,いいえ,多少,2
髪の毛が抜けやすい,はい,いいえ,多少,1
目が疲れたり、乾燥しやすい,はい,いいえ,多少,3
筋肉がけいれんしたり、つりやすい,はい,いいえ,多少,2
体温は高くないが、体が熱っぽく感じる,はい,いいえ,多少,3
疲労時や夜に、よく手のひらや足の裏が暑くなる,はい,いいえ,多少,2
